"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.155867379743e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000000799777e-02 5.000000799741e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499999920022e-01 9.499999920026e-01
8.640000000000e+04 1.155867379746e+06 2.607529267936e+02 2.614745321002e+02 2.630229177792e+02 2.653233042621e+02 2.679950717921e+02 2.697354736942e+02 2.700850461106e+02 2.701455920376e+02 2.701499999653e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.139873854180e-01 1.143254237207e-01 8.046502543356e-02 8.376403861504e-02 8.989361974307e-02 9.703450930935e-02 9.911017945558e-02 9.950350449288e-02 5.000000799777e-02 5.000000799741e-02 7.385445038521e-01 7.406366001351e-01 8.838214156055e-01 8.852459365301e-01 8.875914264094e-01 8.959401624524e-01 9.008898205444e-01 9.004964955071e-01 9.499999920022e-01 9.499999920026e-01
1.728000000000e+05 1.155867379755e+06 2.608713008600e+02 2.613361966941e+02 2.623668679230e+02 2.640434787815e+02 2.664561952208e+02 2.688867297728e+02 2.698014808485e+02 2.701010762933e+02 2.701499947961e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140409125066e-01 1.142583760970e-01 7.971213985917e-02 8.178353137254e-02 8.593956395945e-02 9.303992119043e-02 9.740296356565e-02 9.921321267874e-02 5.000000799775e-02 5.000000799741e-02 7.384941671135e-01 7.406999086398e-01 8.845683292368e-01 8.872534887249e-01 8.917090901605e-01 9.001837097042e-01 9.025970364344e-01 9.007867873213e-01 9.499999920022e-01 9.499999920026e-01
2.592000000000e+05 1.155867379755e+06 2.623748259454e+02 2.625999411885e+02 2.631417188482e+02 2.641469108419e+02 2.658830014907e+02 2.681909549223e+02 2.694334127250e+02 2.700116512469e+02 2.701499679005e+02 2.701499999994e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147908532313e-01 1.149158557816e-01 8.060871605224e-02 8.192872435020e-02 8.477933902565e-02 9.051610941936e-02 9.546702305230e-02 9.864761526006e-02 5.000000799764e-02 5.000000799741e-02 7.377838085067e-01 7.400756198875e-01 8.836782663196e-01 8.871073012055e-01 8.929033079634e-01 9.028445409188e-01 9.045329769477e-01 9.013523847399e-01 9.499999920024e-01 9.499999920026e-01
3.456000000000e+05 1.155867379755e+06 2.630328585154e+02 2.632058454018e+02 2.636112439580e+02 2.643544409034e+02 2.656890234816e+02 2.677136820870e+02 2.690690339169e+02 2.698843902197e+02 2.701498840602e+02 2.701499999971e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151671217598e-01 1.152717897137e-01 8.120095050850e-02 8.222723349540e-02 8.441538817483e-02 8.905519397642e-02 9.379829457037e-02 9.788051266860e-02 5.000000799731e-02 5.000000799741e-02 7.374235856688e-01 7.397343378171e-01 8.830863360595e-01 8.868062290988e-01 8.932763406443e-01 9.043755104947e-01 9.062017054296e-01 9.021194873314e-01 9.499999920027e-01 9.499999920026e-01
4.320000000000e+05 1.155867379756e+06 2.620686054822e+02 2.623454185577e+02 2.629341841065e+02 2.638630616104e+02 2.652924340059e+02 2.672992739948e+02 2.687247213610e+02 2.697299908608e+02 2.701496848447e+02 2.701499999894e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146265900826e-01 1.147747949574e-01 8.035923787739e-02 8.153573227718e-02 8.371101560771e-02 8.792535239285e-02 9.240278450562e-02 9.700420214894e-02 5.000000799651e-02 5.000000799741e-02 7.379402527010e-01 7.402102233660e-01 8.839266854056e-01 8.875025948629e-01 8.939959667661e-01 9.055540064157e-01 9.075972154944e-01 9.029957978511e-01 9.499999920035e-01 9.499999920026e-01
5.184000000000e+05 1.155867379756e+06 2.597194204585e+02 2.601655265824e+02 2.610922565115e+02 2.624727573292e+02 2.643912934491e+02 2.667614968678e+02 2.683565227076e+02 2.695515358077e+02 2.701492866782e+02 2.701499999683e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135487520700e-01 1.137320420829e-01 7.841867789747e-02 7.982923915770e-02 8.228127673239e-02 8.661606481201e-02 9.106953171704e-02 9.605792906787e-02 5.000000799492e-02 5.000000799741e-02 7.389553986845e-01 7.411943167314e-01 8.858382918945e-01 8.892036793013e-01 8.954463530873e-01 9.069127793623e-01 9.089304682830e-01 9.039420709321e-01 9.499999920051e-01 9.499999920026e-01
6.048000000000e+05 1.155867379756e+06 2.590755097862e+02 2.594553017927e+02 2.602812852092e+02 2.616017785010e+02 2.635849192495e+02 2.661730672645e+02 2.679542438443e+02 2.693484741336e+02 2.701485808637e+02 2.701499999182e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.132988186954e-01 1.134442307308e-01 7.769180321066e-02 7.891157441449e-02 8.116666980114e-02 8.534976577512e-02 8.976779368264e-02 9.505805725235e-02 5.000000799210e-02 5.000000799741e-02 7.391884454460e-01 7.414629661780e-01 8.865439464111e-01 8.901069502562e-01 8.965662798887e-01 9.082189135929e-01 9.102322063174e-01 9.049419427477e-01 9.499999920079e-01 9.499999920026e-01
6.912000000000e+05 1.155867379756e+06 2.562682277897e+02 2.568330223098e+02 2.580196258649e+02 2.598098977531e+02 2.623254371359e+02 2.654178903369e+02 2.674814660705e+02 2.691142774042e+02 2.701474341294e+02 2.701499998118e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123727138550e-01 1.125407174062e-01 7.596576824775e-02 7.729829506009e-02 7.966676217533e-02 8.392834428986e-02 8.840754789456e-02 9.399389073801e-02 5.000000798753e-02 5.000000799741e-02 7.400496673157e-01 7.423022764197e-01 8.881939839003e-01 8.916726044771e-01 8.980561474181e-01 9.096742069595e-01 9.115924521054e-01 9.060061092620e-01 9.499999920125e-01 9.499999920026e-01
7.776000000000e+05 1.155867379756e+06 2.548088311879e+02 2.553496305635e+02 2.565197159056e+02 2.583633887096e+02 2.610833912833e+02 2.645646591903e+02 2.669334984861e+02 2.688418809986e+02 2.701456885811e+02 2.701499996041e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119732336921e-01 1.121158308987e-01 7.501017878907e-02 7.620382478667e-02 7.841036238583e-02 8.253986280972e-02 8.701722825621e-02 9.286000633698e-02 5.000000798057e-02 5.000000799741e-02 7.404238499363e-01 7.426983352944e-01 8.890909024120e-01 8.927168285189e-01 8.992867968682e-01 9.110829483612e-01 9.129827717438e-01 9.071399936630e-01 9.499999920194e-01 9.499999920026e-01
