"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.910858256339e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.910858256355e+05 2.607820916403e+02 2.616439198839e+02 2.632246740872e+02 2.654857374338e+02 2.680653119580e+02 2.697364709826e+02 2.700822354354e+02 2.701451109941e+02 2.701499999696e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140005063354e-01 1.144090603499e-01 8.071047979718e-02 8.404794848753e-02 9.011296488017e-02 9.704000306464e-02 9.909218858604e-02 9.950033585465e-02 5.000393146038e-02 5.000393134223e-02 7.385321688430e-01 7.405575177009e-01 8.835767730148e-01 8.849559393716e-01 8.873612131486e-01 8.959343043488e-01 9.009078114140e-01 9.004996641454e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 6.910858256355e+05 2.608910371248e+02 2.614512292707e+02 2.625127187902e+02 2.641850645862e+02 2.665566834430e+02 2.689085721355e+02 2.697980007278e+02 2.700982455753e+02 2.701499956023e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140499076760e-01 1.143140513472e-01 7.987385633170e-02 8.198287539211e-02 8.615737351456e-02 9.312838880011e-02 9.738330643500e-02 9.919495868035e-02 5.000393145466e-02 5.000393134223e-02 7.384857032703e-01 7.406473437238e-01 8.844083507048e-01 8.870527357031e-01 8.914840945410e-01 9.000901184280e-01 9.026166935650e-01 9.008050413196e-01 9.499960685453e-01 9.499960686578e-01
2.592000000000e+05 6.910858256355e+05 2.623849312613e+02 2.626593096031e+02 2.632207972658e+02 2.642346512615e+02 2.659661927647e+02 2.682271777818e+02 2.694345255976e+02 2.700062241762e+02 2.701499730209e+02 2.701499999997e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147963855992e-01 1.149494484024e-01 8.070569739166e-02 8.205373849641e-02 8.493962886069e-02 9.063500258141e-02 9.547251581022e-02 9.861402967287e-02 5.000393142508e-02 5.000393134223e-02 7.377785305863e-01 7.400435105333e-01 8.835815447557e-01 8.869812968198e-01 8.927387695512e-01 9.027196236767e-01 9.045274841898e-01 9.013859703271e-01 9.499960685749e-01 9.499960686578e-01
3.456000000000e+05 6.910858256355e+05 2.630402629624e+02 2.632492396778e+02 2.636674820015e+02 2.644163308670e+02 2.657534969421e+02 2.677536707314e+02 2.690761768051e+02 2.698773139964e+02 2.701499029105e+02 2.701499999983e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151715502804e-01 1.152984480892e-01 8.127463228526e-02 8.231817585598e-02 8.453486969829e-02 8.917059494600e-02 9.382904344564e-02 9.783911194924e-02 5.000393133324e-02 5.000393134222e-02 7.374193301284e-01 7.397086819383e-01 8.830124809246e-01 8.867143690157e-01 8.931539645265e-01 9.042548563521e-01 9.061709565544e-01 9.021608880508e-01 9.499960686668e-01 9.499960686578e-01
4.320000000000e+05 6.910858256355e+05 2.620797329545e+02 2.624100536862e+02 2.630140268398e+02 2.639416395162e+02 2.653638348176e+02 2.673450293902e+02 2.687385107899e+02 2.697227622366e+02 2.701497367721e+02 2.701499999937e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146324469235e-01 1.148101710979e-01 8.045436710082e-02 8.164281907982e-02 8.383410140510e-02 8.804451639962e-02 9.245579387353e-02 9.696456919171e-02 5.000393111563e-02 5.000393134222e-02 7.379346827331e-01 7.401765010132e-01 8.838320262929e-01 8.873950032253e-01 8.938704432671e-01 9.054299580744e-01 9.075442061265e-01 9.030354308083e-01 9.499960688844e-01 9.499960686578e-01
5.184000000000e+05 6.910858256355e+05 2.597378005189e+02 2.602719264480e+02 2.612254218329e+02 2.626023125824e+02 2.645008630335e+02 2.668266970996e+02 2.683810267245e+02 2.695461143759e+02 2.701494053919e+02 2.701499999812e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135561335253e-01 1.137770735501e-01 7.854463075151e-02 7.997475016455e-02 8.244386115147e-02 8.676643233700e-02 9.115383481152e-02 9.603025668467e-02 5.000393068165e-02 5.000393134220e-02 7.389485051058e-01 7.411521836711e-01 8.857154086257e-01 8.890596728669e-01 8.952821671760e-01 9.067571360118e-01 9.088461651885e-01 9.039697433153e-01 9.499960693183e-01 9.499960686578e-01
6.048000000000e+05 6.910858256354e+05 2.590921384173e+02 2.595520244537e+02 2.604083181845e+02 2.617366498827e+02 2.637128250484e+02 2.662590429941e+02 2.679929626840e+02 2.693471418492e+02 2.701488189872e+02 2.701499999515e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.133050690145e-01 1.134821749218e-01 7.780133911059e-02 7.904719414981e-02 8.133448806907e-02 8.552526769210e-02 8.988694733091e-02 9.505179799799e-02 5.000392991393e-02 5.000393134216e-02 7.391826247033e-01 7.414276062223e-01 8.864379978840e-01 8.899740053858e-01 8.963983163495e-01 9.080384032090e-01 9.101130526691e-01 9.049482020020e-01 9.499960700861e-01 9.499960686578e-01
6.912000000000e+05 6.910858256354e+05 2.562929977577e+02 2.569763762241e+02 2.582070544302e+02 2.600048960522e+02 2.625052393105e+02 2.655391030464e+02 2.675414699013e+02 2.691201214211e+02 2.701478679278e+02 2.701499998883e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123799141527e-01 1.125846752284e-01 7.609460363448e-02 7.745866322006e-02 7.986548754589e-02 8.414307252002e-02 8.857132326220e-02 9.401944783543e-02 5.000392866943e-02 5.000393134208e-02 7.400429540244e-01 7.422614413158e-01 8.880721315162e-01 8.915183344967e-01 8.978599836235e-01 9.094551647291e-01 9.114286767378e-01 9.059805521646e-01 9.499960713306e-01 9.499960686579e-01
7.776000000000e+05 6.910858256354e+05 2.548337325497e+02 2.554942104267e+02 2.567156482166e+02 2.585800180776e+02 2.612995589252e+02 2.647244883346e+02 2.670210964479e+02 2.688587704164e+02 2.701464231513e+02 2.701499997649e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119796678827e-01 1.121549999673e-01 7.512794760607e-02 7.635789634381e-02 7.861561382807e-02 8.278483660070e-02 8.722781152343e-02 9.292743345915e-02 5.000392678040e-02 5.000393134192e-02 7.404177871429e-01 7.426616745432e-01 8.889810226064e-01 8.925707602493e-01 8.990869245482e-01 9.108354091291e-01 9.127721884766e-01 9.070725665408e-01 9.499960732196e-01 9.499960686581e-01
