name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.00375,0.0025,0.0175,0.0025,0.00374984,-0.00499968,0.00999968
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.00181432,0.000684339,0.000445642,0.003183
n_p,2.05,0.5125,1.025,3.075,2.04974,0.512453,1.02484,3.07465
n_m,2.05,0.5125,1.025,3.075,2.05002,0.512478,1.02507,3.07498
wr_p,0.224324,0.0841216,0.056081,0.392567,0.227624,0.0841138,0.0593968,0.395852
wr_m,0.159488,0.059808,0.039872,0.279104,0.16162,0.0598057,0.0420087,0.281231
tcs_p,0.439577,0.164841,0.109894,0.769259,0.442058,0.164834,0.112389,0.771727
tcs_m,0.952105,0.357039,0.238026,1.66618,0.951846,0.357033,0.23778,1.66591
tcd_p,0.101023,0.0378838,0.0252559,0.176791,0.10347,0.0378837,0.0277025,0.179237
tcd_m,0.984405,0.369152,0.246101,1.72271,0.984254,0.369151,0.245953,1.72256
af_p,1.50511,0.564418,0.376279,2.63395,1.50508,0.564412,0.376251,2.6339
af_m,1.49939,0.562271,0.374847,2.62393,1.4994,0.562271,0.37486,2.62394
auf_p,0.486935,0.182601,0.121734,0.852137,0.48586,0.182598,0.120664,0.851057
auf_m,0.698884,0.262082,0.174721,1.22305,0.698885,0.262082,0.174722,1.22305
por_p,0.637395,0.239023,0.159349,1.11544,0.638272,0.23899,0.160292,1.11625
por_m,0.481031,0.180387,0.120258,0.841804,0.481641,0.180367,0.120907,0.842376
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,1.33666e-11,2.00498e-11,-2.67331e-11,5.34662e-11
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,1.56822e-13,3.75e-14,8.18215e-14,2.31822e-13
den_p,900,337.5,225,1575,900,329.589,240.822,1559.18
den_m,1900,475,950,2850,1900,470.081,959.839,2840.16
b_bc,268.45,2.75,262.95,273.95,268.45,2.75,262.95,273.95
